PD_Home_&_Garden_8055.xls,[u'Currently In Stock']
Ragon_House_Collection_7967.xls,"[u'In-Stock: Ships in 1 to 3 days ', u'SOLD OUT FOR 2022 ', u'In-Stock: Ships in 1 to 3 days', u'EXPECTED IN SUMMER 2023 ', u'In-Stock: THIS IS A FREIGHT ITEM,\nPLEASE SEE NOTES BELOW', u'In-Stock: THIS IS A FREIGHT ITEM,\nPLEASE SEE NOTES BELOW ', u'EXPECTED IN SUMMER 2023', u'In-Stock', u'', u'SOLD OUT']"
JB_Naturals_8010.xls,"[u'', u'NOTE: CAN BE SHIPPED ASSEMBLED OR DIS-ASSEMBLED WITH INSTRUCTIONS FOR EASY REASSEMBLY']"
Homespice_Décor_Closeouts_8088.xls,"[u'Out of stock', u'In stock', u'']"
Special_T_Imports_Closeouts_8056.xls,[u'']
The_Packaging_Source_1339.xls,[u'']
Capitol_Discounted_Closeouts_7960.xls,"[u'Closeout Price', u'Out of stock']"
Designs_Combined_7862.xls,"[u'In Stock', u'Out of Stock']"
Timeless_By_Design_8067.xls,[u'']
Lighthouse_Products_8003.xls,"[u'', u'NO IMAGE']"
Candle_By_The_Hour_8092.xls,"[u'48 HR ', u'50 HR ', u'60 HR ', u'80 HR ', u'40 HR ', u'70 HR ', u'144 HR ', u'120 HR ', u'160 HR ', u'100 HR ']"
Colonial_Thymes_Candles_7970.xls,[u'']
Hanna's_Handiworks_8057.xls,"[u'Out of stock', u'']"
